produk-href,produk_name,price,description,usia,brand,picture_src-src,category,tipe_produk,manfaat
https://babyzania.com/beli-popok/yummy-bites-cheesy-seaweed-rumput-laut-20-gr,Yummy Bites Cheesy Seaweed Rumput Laut Snack Anak - 30 gr,Rp 26.800,"Enak, lezat dan aman untuk dikonsumsi Si Kecil. Yummy Bites Cheesy Seaweed. Keju tebalnya mudah lumer di mulut, mengandung vitamin A, B1, C dan D, juga diperkaya dengan kandungan baik lainnya yang menunjang tumbuh kembang Si Kecil.",toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,snack,mpasi
https://babyzania.com/beli-popok/promina-baby-mac-and-cheese-70-gr,Promina Baby Pasta Mac and Cheese MPASI Bayi 12+ - 70 gr,Rp 9.700,"Promina Pasta Mac and Cheese adalah Pasta khusus bayi usia 1 tahun keatas. Tekstur lembut, bentuk dan porsi pasta cocok untuk si Kecil. Pasta terbuat dari keju asli, tanpa MSG dan pengawet sehingga aman dikonsumsi si Kecil.",toddler ,Promina,https://assets.babyzania.com/image/cache/catalog/1/45b74dec72ba8aa21262da21aa274df3-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-makanan-susu/alamii-healthy-and-yummy-kids-snack-puffs-tersedia-pilihan-rasa,Alamii Puff Snack Anak Cemilan Bayi Sehat No MSG,Rp 19.000,Alamii Puffs - Cemilan / Snack Bayi & Anak Sehat Penuh dengan Nutrisi. Cocok untuk anak usia 1 tahun ke-atas sampai dewasa. LPPOM HALAL 17100063020421,toddler ,Alamii,https://assets.babyzania.com/image/cache/catalog/1/pigeon_pigeon-mag-mag-spare-straw-new_full02-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-makanan-susu/aroma-truffle-black-summer-potato,Aroma Truffle Black Summer Potato Chips - 100 gr FREE Bingrae Banana,Rp 115.000,"Manjakan diri dengan 100% kerenyahan kami yang khusus dibuat dari truffle hitam musim panas eksotis yang dipanen dengan hati-hati di Italia. Keripik kentang yang tebal dan renyah ini disiram dengan minyak zaitun kualitas terbaik, kemudian ditaburi dengan truffle hitam, dan sedikit peterseli untuk sentuhan akhir. Nikmati aroma lezat dari keripik truffle terkuat di dunia di setiap gigitan!",toddler ,Aroma Truffle,https://assets.babyzania.com/image/cache/catalog/1/pigeon_pigeon-mag-mag-spare-straw-new_full02-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-makanan-susu/omo-sweet-bites-15-gr,OMO Sweet Bites Snack Sehat Bayi - 15 gr,Rp 16.500,"Omo Sweet Bites merupakan Snack sehat untuk bayi yang dapat dikonsumsi dari usia 12 bulan keatas.

Kenapa harus OMO?

1. Kandungan gizi diatur oleh Ahli Gizi
2. Terbuat dari bahan natural
3. Mudah lumer di mulut
4. Mudah dipegang
5. Tanpa pewarna buatan
6. Tanpa tambahan MSG",toddler ,OMO,https://assets.babyzania.com/image/cache/catalog/1/pigeon_pigeon-mag-mag-spare-straw-new_full02-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-makanan-susu/booga-booga-roll-mini-bites-80-gr,Booga Booga Mini Bites Roll Snack Sehat Anak - 80 gr,Rp 25.000,Booga Booga Mini Bites merupakan snack sehat buatan Korea.,toddler ,Booga Booga,https://assets.babyzania.com/image/cache/catalog/pita/1/mini-anna-red-hc-a-250x250.jpg,makanan,snack,mpasi
https://babyzania.com/beli-popok/yummy-bites-123-applephant-apple-flavor,Yummy Bites Cracker for Toddler 123 Applephant 12M+ - Apple Flavor,Rp 27.000,"Yummy Bites 123 Applephant Apple Flavor 50 gram adalah makanan/biskuit beras ringan untuk bayi berbentuk oval panjang, cocok untuk Si Kecil yang mulai menginjak usia toddler (1,2,3).  Yummy Bites dibuat dengan beras premium organik Japonica dan bahan sederhana lainnya, semua bahan-bahan alami . Produk ini juga bebas gluten , bebas telur  dan bebas kacang, tanpa aditif buatan dan pengawet . Mengandung vitamin A , K ,E dan Protein sehingga baik untuk pertumbuhan si kecil. Biskuit ini sangat renyah namun setelah dimakan akan meleleh di mulut. Mudah digenggam oleh bayi yang baru belajar makan.",toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/AA3A1040-250x250.JPG,makanan,snack,mpasi
https://babyzania.com/beli-popok/peachy-multigrain-puffs-with-strawberry-40gr,Peachy Multigrain  Puffs With Strawberry  40gr,Rp 61.641,"Peachy Multigrain  Puffs With Strawberry merupakan sereal bayi dari tepung gandum, tepung terigu, kacang merah, millet biji teratai dan beras merah, termasuk buah strawberry yang dikeringkan. Sereal bergizi yang lembut dan mudah larut dimulut. Cocok untuk anak yang sedang belajar makan menggunakan tangan sediri serta diperkaya nutrisi yang tepat untuk pertumbuhan dan perkembangan bayi.",toddler ,Peachy,https://assets.babyzania.com/image/cache/catalog/1/peachy veggi-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/promina-sup-mi-ayam-dan-sayur-12m-15099,Promina Sup Mi Ayam dan Sayur 12m+ - 81 gr,Rp 10.700,"Promina Sup Mi Ayam dan Sayur memadukan sempurna ayam dan sayuran pilihanyang mengandung protein, vitamin dan mineral yang sangat baik bagi pertumbuhan Sikecil. Promina Sup Mi Ayam dan Sayur memperkenalkan rasa makanan yang enak dan tekstur yang tepat untuk stimulasi perkembangan oromotoriknya.",toddler ,Promina,https://assets.babyzania.com/image/cache/catalog/1/52526667_be808d7c-b7b0-427e-ae82-d5c7a088e62d_2048_2048-250x250.jpg,makanan,sereal,"energi, protein"
https://babyzania.com/beli-popok/yummy-bites-yogurt-melt-gold-kiwi,Yummy Bites Yogurt Melt 20gr - Gold Kiwi,Rp 34.500,Yummy Bites Yogurt Melt Gold Kiwi adalah makanan selingan yogurt rasa pisang yang baik untuk dikonsumsi selama masa tumbuh kembang anak. Kandungan gizi yang seimbang dan juga probiotik pada yogurt dapat membantu memperkuat sistem imunitas tubuh dan juga berfungsi untuk melancarkan pencernaan sang buah hati.,toddler ,Yummy Bites,https://assets.babyzania.com/image/cache/catalog/1/yummy-bites-baby-rice-cracker-50-gram-banana-3257-250x250.JPG,makanan,snack,mpasi
